X1,X2,X3,X4,X5,X6,X7,Y
0.35,514,0,1131,621,8.24,7,75.2
0.35,515,26,1120,621,8.24,7,77.6
0.35,514,51,1110,621,9,7,81.2
0.4,450,0,1166,640,8.1,7,65.6
0.4,451,23,1157,640,8.57,7,65.8
0.3,600,0,1084,595,7.14,28,84
0.3,600,30,1072,595,7.98,28,95.3
0.3,600,60,1059,595,8.58,28,100.5
0.35,514,0,1131,621,8.24,28,83
0.35,515,26,1120,621,8.24,28,85.3
0.35,514,51,1110,621,9,28,91.6
0.4,450,0,1166,640,8.1,28,72.4
0.4,451,23,1157,640,8.57,28,75.3
0.4,450,45,1147,640,9.45,28,79
0.3,600,0,1084,595,7.14,90,88.3
0.3,600,30,1072,595,7.98,90,99
0.3,600,60,1059,595,8.58,90,106.6
0.35,514,0,1131,621,8.24,90,85.4
0.35,515,26,1120,621,8.24,90,90.9
0.35,514,51,1110,621,9,90,100.4
0.4,450,0,1166,640,8.1,90,80.4
0.4,451,23,1157,640,8.57,90,82.4
0.4,450,45,1147,640,9.45,90,86.1
0.38,500,0,794,725,15,7,34
0.4,525,25,794,725,15,7,36
0.4,525,25,794,725,15,7,36
0.36,525,25,794,725,15,7,40.7
0.32,525,25,794,725,15,7,42.5
0.36,525,25,794,725,15,7,40.7
0.36,525,25,794,725,10,7,43.5
0.36,525,25,794,725,5,7,40
0.4,500,0,794,725,7.5,3,28.3
0.4,500,0,794,725,7.5,7,35.8
0.4,500,0,794,725,7.5,14,43
0.4,500,0,794,725,7.5,28,45
0.4,500,0,794,725,7.5,90,49.5
0.36,525,25,794,725,10,3,32.8
0.36,525,25,794,725,10,7,39.3
0.36,525,25,794,725,10,14,48.5
0.36,525,25,794,725,10,28,56.3
0.36,525,25,794,725,10,90,60.3
0.32,550,0,728,935,8.43,28,80.9
0.32,550,28,724,930,9.56,28,80.4
0.32,550,55,720,925,10.67,28,85.7
0.32,550,83,716,920,12,28,84.4
0.32,450,23,823,865,4.88,28,60.7
0.32,450,45,819,861,5.2,28,58.5
0.32,450,68,816,858,7.76,28,71.1
0.32,550,28,724,930,9.56,90,91.1
0.32,550,55,720,925,10.67,90,99.2
0.32,550,83,716,920,12,90,96.7
0.32,450,23,823,865,4.88,90,71.2
0.32,450,45,819,861,5.2,90,76.1
0.32,450,68,816,858,7.76,90,74.8
0.35,550,0,688,688,5.5,28,47.8
0.35,550,28,684,684,6.4,28,53
0.35,550,55,680,680,6.4,28,54
0.35,550,0,688,688,5.5,56,52
0.35,550,55,680,680,6.4,56,55.5
0.35,550,55,680,680,6.4,56,58.5
0.35,550,28,684,684,6.4,28,53
0.35,550,55,680,680,6.4,28,54
0.44,451,23,823,865,4.9,28,71.2
0.44,450,45,819,861,5.2,28,76.1
0.32,550,0,728,935,8.53,28,80.9
0.32,550,28,724,930,9.56,28,80.3
0.32,550,55,720,925,10.67,28,85.6
0.32,550,83,716,920,12,28,84.4
0.38,450,0,918,918,8.1,7,30.4
0.4,450,0,903,903,6.75,7,24
0.45,450,0,873,873,3.6,7,32.5
0.38,450,23,925,925,7.7,7,28.5
0.4,450,23,911,911,6.41,7,33
0.42,450,23,897,897,3.42,7,33.5
0.45,450,23,882,882,3.42,7,29.5
0.38,450,45,933,933,8.1,7,21.5
0.4,450,45,920,920,6.89,7,28
0.42,450,45,906,906,4.05,7,30.5
0.45,450,45,893,893,4.05,7,26
0.38,450,68,939,939,7.65,7,22
0.4,450,68,927,927,6.5,7,29
0.42,450,68,914,914,3.83,7,33
0.45,450,68,901,901,3.83,7,27.5
0.38,450,23,925,925,7.7,28,45
0.38,450,0,918,918,8.1,28,43
0.4,450,0,903,903,6.75,28,39
0.42,450,0,888,888,3.6,28,40.5
0.45,450,0,873,873,3.6,28,41
0.4,450,23,911,911,6.41,28,44.5
0.42,450,23,897,897,3.42,28,46
0.45,450,23,882,882,3.42,28,44
0.38,450,45,933,933,8.1,28,42
0.4,450,45,920,920,6.89,28,49.5
0.42,450,45,906,906,4.05,28,50.5
0.45,450,45,893,893,4.05,28,46.5
0.4,450,0,903,903,6.75,90,52
0.42,450,0,888,888,3.6,90,54
0.45,450,0,873,873,3.6,90,49.5
0.38,450,23,925,925,7.7,90,56.5
0.4,450,23,911,911,6.41,90,55
0.45,450,23,882,882,3.42,90,52
0.38,450,45,933,933,8.1,90,59
0.4,450,45,920,920,6.89,90,56
0.42,450,45,906,906,4.05,90,57.5
0.45,450,45,893,893,4.05,90,54.5
0.38,450,68,939,939,7.65,90,64
0.4,450,68,927,927,6.5,90,62.5
0.45,450,68,901,901,3.83,90,60
0.44,455,0,883,783,5.75,7,39
0.44,455,18,880,778,6.7,7,40.6
0.44,455,36,875,774,7.5,7,34.5
0.44,455,55,870,771,8,7,35.5
0.44,455,18,800,778,6.7,28,53.7
0.44,455,36,875,774,7.5,28,64
0.44,455,55,870,771,8,28,64
0.44,455,0,883,783,5.75,90,51.5
0.44,455,18,800,778,6.7,90,58.8
0.44,455,36,875,774,7.5,90,64.6
0.44,455,55,870,771,8,90,66.8
0.38,444,0,1010,777,5.33,28,53.8
0.38,444,22,1002,777,5.33,28,63
0.38,444,44,994,777,6.66,28,63.8
0.38,444,66,986,777,6.66,28,72.1
0.38,444,0,1010,777,5.33,90,57
0.38,444,22,1002,777,5.33,90,68
0.38,444,44,994,777,6.66,90,67
0.38,444,66,986,777,6.66,90,71.5
0.38,444,0,1010,777,5.33,180,59
0.38,444,22,1002,777,5.33,180,71.8
0.38,444,44,994,777,6.66,180,75.8
0.38,444,66,986,777,6.66,180,72.2
0.38,444,0,1010,777,5.33,28,63.3
0.38,444,22,1002,777,5.33,270,71.5
0.38,444,44,994,777,6.66,270,73.8
0.38,444,66,986,777,6.66,270,81.5
0.35,500,0,967,694,8,3,61.5
0.35,500,0,967,694,8,7,75
0.35,500,75,948,681,10,7,79
0.35,500,0,967,694,8,28,78.5
0.35,500,25,958,687,8,28,78.5
0.35,500,50,954,685,9,28,82.5
0.35,500,75,948,681,10,28,87
0.4,450,50,921,891,5.83,28,41.3
0.4,450,36,923,893,5.4,28,45.9
0.4,450,23,926,896,5.15,28,41.9
0.4,450,14,927,898,4.55,28,37.9
0.32,500,100,935,656,12,3,37
0.32,500,50,959,656,9.5,28,75
0.32,500,100,935,656,12,28,79.5
0.32,500,50,959,656,9.5,90,73
0.32,500,100,935,656,12,90,79.5
0.32,500,50,959,656,9.5,180,79.5
0.32,500,100,935,656,12,180,87
0.4,550,50,790,732,6.08,3,30
0.38,440,40,906,839,5.07,3,24
0.42,495,45,849,786,5.57,3,26
0.37,550,50,791,733,6.08,3,30.3
0.51,359,9,1002,927,2.16,7,24
0.49,368,18,988,915,3.52,7,28
0.45,385,35,964,892,4.56,7,31.5
0.43,440,40,906,839,5.07,7,33
0.41,495,45,849,786,5.57,7,36
0.49,368,18,988,915,3.52,28,42.5
0.45,385,35,964,892,4.56,28,48.5
0.43,440,40,906,839,5.07,28,50
0.41,495,45,849,786,5.57,28,55.5
0.4,550,50,790,732,6.08,28,60.3
0.42,495,45,849,786,5.57,28,52.5
0.37,550,50,791,733,6.08,28,61
0.33,600,30,900,750,12,28,80.4
0.32,600,60,900,750,12,28,79.2
0.35,500,150,900,600,7.35,28,48.9
0.35,500,200,900,600,6.21,28,42.2
0.35,500,250,900,600,5,28,35.1
0.44,451,23,823,865,4.9,28,71.2
0.44,450,45,819,861,5.2,28,76.1
0.39,481,48,959,784,7.21,3,63.4
0.45,421,42,992,812,4.21,3,45.5
0.39,481,48,959,784,7.21,7,74.5
0.4,600,0,810,660,13.8,7,35
0.4,600,30,810,660,13.11,7,34
0.4,600,60,810,660,12.42,7,32
0.4,600,90,810,660,11.73,7,31
0.4,600,0,810,660,13.8,28,63
0.4,600,30,810,660,13.11,28,60.1
0.4,600,60,810,660,12.42,28,58.1
0.4,600,90,810,660,11.73,28,55.3
0.4,600,120,810,660,11.04,28,51.4
0.4,600,150,810,660,10.35,28,45.1
0.45,400,0,793,1000,1.3,7,46
0.45,400,10,791,1000,1.45,7,48
0.45,400,20,788,1000,1.45,7,48
0.45,400,10,791,1000,1.45,28,59
0.45,400,20,788,1000,1.45,28,60
0.45,400,40,784,1000,1.6,28,66
0.45,400,0,793,1000,1.3,56,55
0.45,400,10,791,1000,1.45,56,65
0.45,400,20,788,1000,1.45,56,66
0.45,400,40,784,1000,1.6,56,68
0.45,400,0,793,1000,1.3,90,60
0.45,400,10,791,1000,1.45,90,68
0.45,400,20,788,1000,1.45,90,71
0.45,400,40,784,1000,1.6,90,74
0.45,400,0,793,1000,1.3,180,62
0.45,400,10,791,1000,1.45,180,71
0.45,400,20,788,1000,1.45,180,73
0.45,400,40,784,1000,1.6,180,77
0.36,450,23,990,735,8,3,36.2
0.38,450,45,990,735,8,3,33.2
0.4,450,68,990,735,8,3,30.9
0.4,450,90,990,735,8,3,31.3
0.36,450,23,990,735,8,7,43.9
0.38,450,45,990,735,8,7,47
0.4,450,68,990,735,8,7,40.9
0.4,450,90,990,735,8,7,40.4
0.36,450,23,990,735,8,28,58
0.38,450,45,990,735,8,28,62.8
0.4,450,68,990,735,8,28,68
0.4,450,90,990,735,8,28,66.4
0.36,450,23,932,793,8,28,36.5
0.38,450,45,932,793,8,28,44.1
0.42,460,60,827,798,7.2,7,22
0.42,460,60,827,799,6,7,25
0.42,460,60,785,798,8,7,27.5
0.42,460,60,827,798,7.2,14,31
0.42,460,60,827,799,6,14,41
0.42,460,60,785,798,8,14,33.5
0.42,460,60,827,798,7.2,28,40
0.42,460,60,827,799,6,28,43.5
0.42,460,60,785,798,8,28,41.5
0.26,575,86,833,700,2.93,7,43.8
0.24,575,86,833,700,3.42,7,47.2
0.22,575,86,833,700,3.81,7,51
0.26,575,86,833,700,2.93,28,55.1
0.24,575,86,833,700,3.42,28,60
0.37,400,40,1069,766,3.45,7,38
0.37,400,80,1062,761,5.37,7,40
0.37,400,0,1085,778,5.75,28,38
0.37,400,40,1069,766,3.45,28,54
0.37,400,80,1062,761,5.37,28,57.5
0.44,385,35,960,920,2.76,7,21.1
0.44,385,35,960,920,2.76,28,26.1
0.44,385,35,960,920,2.76,90,29.3
0.33,550,0,970,722,7.7,7,39.1
0.33,550,28,970,722,8.25,7,44.1
0.33,550,28,970,722,8.25,28,58.2
0.33,550,0,970,722,7.7,90,56.8
0.33,550,28,970,722,8.25,90,59.9
